person,speech,date,time
0,0,0,0
"#LOS ANGELES, CALIFORNIA; WEDNESDAY, JANUARY 11, 1995 9:05 A.M.DEPARTMENT NO. 103 HON. LANCE A. ITO, JUDGEAPPEARANCES: ","(APPEARANCES AS HERETOFORE NOTED,DEPUTY DISTRICT ATTORNEY HANK;ALSO PRESENT ON BEHALF OFSOJOURN, MS. PAMELA W. WITHEY,ATTORNEY-AT-LAW.)HELD IN OPEN COURT, OUT OF THEPRESENCE OF THE JURY:)
","JANUARY 11, 1995 ",9:05 A.M.
#THE COURT: ,"ALL RIGHT.THE SIMPSON MATTER.
","JANUARY 11, 1995 ",9:05 A.M.
#MR. COCHRAN: ,"MAY WE APPROACH, YOUR HONOR, AT THE APPROPRIATE TIME?
","JANUARY 11, 1995 ",9:05 A.M.
#THE COURT: ,"AT THE APPROPRIATE TIME?
","JANUARY 11, 1995 ",9:05 A.M.
#MR. COCHRAN: ,"WHEN YOU DEEM APPROPRIATE, WE WOULD LIKE TO APPROACH.
","JANUARY 11, 1995 ",9:05 A.M.
#THE COURT: ,"ALL RIGHT.
","JANUARY 11, 1995 ",9:05 A.M.
#THE COURT: ,"BACK ON THE RECORD IN THE SIMPSON MATTER.MR. SIMPSON IS AGAIN PRESENT BEFORE THE COURT WITH HIS COUNSEL, MR. SHAPIRO, MR. COCHRAN, MR. BAILEY, MR. UELMEN, THE PEOPLE REPRESENTED BY MS. BODIN AND MR. DARDEN TODAY.AND WE HAVE ON A FIRST -- AS OUR FIRST MATTER A MOTION TO QUASH A SUBPOENA DUCES TECUM, AND THAT MOTION WAS FILED BY REPRESENTATIVES OF THE SOJOURN PROGRAM.MS. WITHEY.
","JANUARY 11, 1995 ",9:05 A.M.
#MS. WITHEY: ,"PAMELA WITHEY APPEARING FOR SOJOURN.YOUR HONOR, I TRUST THE COURT REVIEWED THE PAPERS AND ALSO THE DISTRICT ATTORNEY'S RESPONSE TO THOSE PAPERS AND --
","JANUARY 11, 1995 ",9:05 A.M.
#THE COURT: ,"COUNSEL, WHY DON'T YOU USE THE PODIUM WITH THE MIKE.
","JANUARY 11, 1995 ",9:05 A.M.
